Time/min,K-with epifluidics,K-without epifluidics,Time/min,Glu-with epifluidics,Glu-without epifluidics
10,4.43276,7.1092,10,95.41784,97.8
10.01667,4.43337,7.12091,10.01667,95.41787,97.8
10.03333,4.43398,7.13153,10.03333,95.41788,97.71
10.05,4.43458,7.14107,10.05,95.41789,97.74
10.06667,4.43521,7.14952,10.06667,95.41788,97.79
10.08333,4.43583,7.15688,10.08333,95.41786,97.68
10.1,4.43646,7.16316,10.1,95.41782,97.73
10.11667,4.43709,7.16835,10.11667,95.41777,97.69
10.13333,4.43773,7.17245,10.13333,95.41771,97.61
10.15,4.43837,7.17546,10.15,95.41763,97.71
10.16667,4.43902,7.17739,10.16667,95.41754,97.68
10.18333,4.43967,7.17823,10.18333,95.41744,97.62
10.2,4.44032,7.17798,10.2,95.41732,97.6
10.21667,4.44098,7.17664,10.21667,95.4172,97.66
10.23333,4.44165,7.17422,10.23333,95.41705,97.62
10.25,4.44231,7.17071,10.25,95.4169,97.55
10.26667,4.44299,7.16611,10.26667,95.41673,97.55
10.28333,4.44367,7.16042,10.28333,95.41655,97.55
10.3,4.44435,7.15365,10.3,95.41635,97.35
10.31667,4.44504,7.14579,10.31667,95.41614,97.45
10.33333,4.44573,7.13684,10.33333,95.41592,97.44
10.35,4.44643,7.12681,10.35,95.41568,97.44
10.36667,4.44713,7.11569,10.36667,95.41543,97.41
10.38333,4.44783,7.10348,10.38333,95.41517,97.45
10.4,4.44854,7.09018,10.4,95.41489,97.16
10.41667,4.44926,7.0758,10.41667,95.4146,97.16
10.43333,4.44998,7.05896,10.43333,95.41429,97.12
10.45,4.4507,7.04072,10.45,95.41397,97.09
10.46667,4.45143,7.02119,10.46667,95.41364,97.01
10.48333,4.45216,7.00049,10.48333,95.4133,97.01
10.5,4.4529,6.97873,10.5,95.41294,97
10.51667,4.45364,6.95601,10.51667,95.41258,96.99
10.53333,4.45439,6.93246,10.53333,95.41219,97.01
10.55,4.45514,6.90819,10.55,95.4118,97.01
10.56667,4.45589,6.88331,10.56667,95.41139,97.01
10.58333,4.45665,6.85793,10.58333,95.41097,97.01
10.6,4.45742,6.83217,10.6,95.41054,97.01
10.61667,4.45819,6.80614,10.61667,95.41009,97.04
10.63333,4.45896,6.77995,10.63333,95.40964,97.01
10.65,4.45974,6.75372,10.65,95.40916,96.99
10.66667,4.46052,6.72756,10.66667,95.40868,97
10.68333,4.46131,6.70158,10.68333,95.40818,97.01
10.7,4.4621,6.6759,10.7,95.40767,97.02
10.71667,4.4629,6.65063,10.71667,95.40715,97.09
10.73333,4.4637,6.62588,10.73333,95.40662,97.09
10.75,4.4645,6.60177,10.75,95.40607,97.07
10.76667,4.46531,6.57841,10.76667,95.40551,97.12
10.78333,4.46613,6.55591,10.78333,95.40493,97.11
10.8,4.46695,6.53439,10.8,95.40435,97.09
10.81667,4.46777,6.51396,10.81667,95.40375,97.14
10.83333,4.4686,6.49473,10.83333,95.40314,97.14
10.85,4.46943,6.47681,10.85,95.40251,97.12
10.86667,4.47027,6.46033,10.86667,95.40188,97.15
10.88333,4.47111,6.44538,10.88333,95.40123,97.14
10.9,4.47196,6.4321,10.9,95.40057,97.06
10.91667,4.47281,6.42058,10.91667,95.39989,97.14
10.93333,4.47367,6.41094,10.93333,95.3992,97.09
10.95,4.47453,6.4033,10.95,95.3985,97.1
10.96667,4.47539,6.39777,10.96667,95.39779,97.11
10.98333,4.47626,6.39446,10.98333,95.39706,97.14
11,4.47713,6.39348,11,95.39632,97.11
11.01667,4.47801,6.39496,11.01667,95.39557,97.11
11.03333,4.47889,6.39899,11.03333,95.3948,97.09
11.05,4.47978,6.4057,11.05,95.39402,97.11
11.06667,4.48067,6.4152,11.06667,95.39323,97.15
11.08333,4.48157,6.41139,11.08333,95.39242,97.09
11.1,4.48247,6.4076,11.1,95.3916,97.18
11.11667,4.48337,6.40382,11.11667,95.39077,97.16
11.13333,4.48428,6.40005,11.13333,95.38992,97.15
11.15,4.4852,6.3963,11.15,95.38906,97.07
11.16667,4.48612,6.39256,11.16667,95.38819,97.09
11.18333,4.48704,6.38884,11.18333,95.38731,97.09
11.2,4.48797,6.38512,11.2,95.38641,97.06
11.21667,4.4889,6.38142,11.21667,95.3855,97.05
11.23333,4.48984,6.37774,11.23333,95.38458,97.04
11.25,4.49079,6.37407,11.25,95.38364,97.05
11.26667,4.49173,6.37041,11.26667,95.38269,97.01
11.28333,4.49268,6.36676,11.28333,95.38173,97
11.3,4.49364,6.36313,11.3,95.38076,97.02
11.31667,4.4946,6.35951,11.31667,95.37977,97.01
11.33333,4.49557,6.35591,11.33333,95.37877,97
11.35,4.49653,6.35232,11.35,95.37776,96.99
11.36667,4.49751,6.34874,11.36667,95.37673,96.93
11.38333,4.49849,6.34517,11.38333,95.37569,96.96
11.4,4.49947,6.34162,11.4,95.37463,97.06
11.41667,4.50046,6.33809,11.41667,95.37357,97.01
11.43333,4.50145,6.33456,11.43333,95.37249,97.11
11.45,4.50245,6.33105,11.45,95.3714,97.05
11.46667,4.50345,6.32756,11.46667,95.37029,97.15
11.48333,4.50445,6.32407,11.48333,95.36918,97.11
11.5,4.50547,6.3206,11.5,95.36805,97.11
11.51667,4.50648,6.31715,11.51667,95.36691,97.09
11.53333,4.5075,6.3137,11.53333,95.36576,97.14
11.55,4.50853,6.31027,11.55,95.3646,97.11
11.56667,4.50955,6.30686,11.56667,95.36342,97.07
11.58333,4.51058,6.30346,11.58333,95.36223,97.06
