date,step,type,Glu-without epifluidics
48.4,48.35,历史,84.88
,48.36667,历史,84.9
,48.38333,历史,84.89
,48.4,历史,84.9
,48.41667,历史,84.85
,48.43333,历史,84.89
,48.45,历史,84.88
,48.46667,历史,84.9
,48.48333,历史,84.93
,48.5,历史,84.95
,48.51667,历史,84.94
,48.53333,历史,84.94
,48.55,历史,84.94
,48.56667,历史,84.96
,48.58333,历史,84.96
,48.6,历史,84.98
48.6,48.61667,历史,84.98
,48.63333,历史,85.0
,48.65,历史,85.0
,48.66667,历史,85.01
,48.68333,历史,84.96
,48.7,历史,85.01
,48.71667,历史,84.98
,48.73333,历史,85.02
,48.75,历史,85.01
,48.76667,历史,85.02
,48.78333,历史,85.04
,48.8,历史,85.0
,48.81667,历史,85.04
,48.83333,历史,84.94
,48.85,历史,84.94
,48.86667,历史,84.96
48.9,48.88333,历史,84.94
,48.9,历史,85.0
,48.91667,历史,84.99
,48.93333,历史,84.91
,48.95,历史,84.94
,48.96667,历史,84.94
,48.98333,历史,84.9
,49.0,历史,84.9
,49.01667,历史,84.9
,49.03333,历史,84.95
,49.05,历史,85.02
,49.06667,历史,85.01
,49.08333,历史,85.11
,49.1,历史,85.06
,49.11667,历史,85.04
,49.13333,历史,84.98
49.1,49.15,历史,84.9
,49.16667,历史,84.9
,49.18333,历史,84.96
,49.2,历史,84.94
,49.21667,历史,85.0
,49.23333,历史,84.96
,49.25,历史,84.99
,49.26667,历史,85.05
,49.28333,历史,85.04
,49.3,历史,84.99
,49.31667,历史,84.99
,49.33333,历史,84.94
,49.35,历史,84.99
,49.36667,历史,84.98
,49.38333,历史,84.96
,49.4,历史,84.94
49.4,49.41667,历史,84.93
,49.43333,历史,84.94
,49.45,历史,84.91
,49.46667,历史,84.96
,49.48333,历史,84.94
,49.5,历史,84.94
,49.51667,历史,84.95
,49.53333,历史,85.09
,49.55,历史,85.1
,49.56667,历史,85.12
,49.58333,历史,85.16
,49.6,历史,85.11
,49.61667,历史,85.18
,49.63333,历史,85.19
,49.65,历史,85.19
,49.66667,历史,85.07
49.7,49.68333,历史,85.04
,49.7,历史,85.05
,49.71667,历史,84.99
,49.73333,历史,84.98
,49.75,历史,84.98
,49.76667,历史,85.01
,49.78333,历史,84.95
,49.8,历史,84.95
,49.81667,历史,84.98
,49.83333,历史,84.88
,49.85,历史,84.94
,49.86667,历史,84.99
,49.88333,历史,85.0
,49.9,历史,85.02
,49.91667,历史,85.05
,49.93333,历史,85.06
50.0,49.95,历史,85.07
,49.96667,历史,85.12
,49.98333,历史,85.16
,50.0,历史,85.14
50.0,50.01667,预测,85.14223
,50.033339999999995,预测,85.14199
,50.05000999999999,预测,85.12691
,50.06667999999999,预测,85.15626
,50.08334999999999,预测,85.128746
,50.10001999999999,预测,85.11655
,50.116689999999984,预测,85.1082
,50.13335999999998,预测,85.11893
,50.15002999999998,预测,85.094765
,50.16669999999998,预测,85.079834
,50.183369999999975,预测,85.087296
,50.20003999999997,预测,85.0891
,50.21670999999997,预测,85.08084
,50.23337999999997,预测,85.088394
,50.250049999999966,预测,85.07782
,50.266719999999964,预测,85.064804
,50.28338999999996,预测,85.073296
,50.30005999999996,预测,85.03623
,50.31672999999996,预测,85.035545
,50.333399999999955,预测,85.03484
,50.35006999999995,预测,84.99793
,50.36673999999995,预测,84.986275
,50.38340999999995,预测,84.99935
,50.400079999999946,预测,84.97983
