date,step,type,K-with epifluidics
48.4,48.35,历史,9.646880149841309
,48.36667,历史,9.65194034576416
,48.38333,历史,9.65703010559082
,48.4,历史,9.662110328674316
,48.41667,历史,9.667189598083496
,48.43333,历史,9.672289848327637
,48.45,历史,9.677379608154297
,48.46667,历史,9.682479858398438
,48.48333,历史,9.687589645385742
,48.5,历史,9.692700386047363
,48.51667,历史,9.697819709777832
,48.53333,历史,9.702949523925781
,48.55,历史,9.708080291748047
,48.56667,历史,9.713210105895996
,48.58333,历史,9.718350410461426
,48.6,历史,9.72350025177002
48.6,48.61667,历史,9.728650093078613
,48.63333,历史,9.733799934387207
,48.65,历史,9.738969802856445
,48.66667,历史,9.74413013458252
,48.68333,历史,9.749309539794922
,48.7,历史,9.75448989868164
,48.71667,历史,9.759679794311523
,48.73333,历史,9.764869689941406
,48.75,历史,9.770079612731934
,48.76667,历史,9.775279998779297
,48.78333,历史,9.780489921569824
,48.8,历史,9.785710334777832
,48.81667,历史,9.790940284729004
,48.83333,历史,9.796159744262695
,48.85,历史,9.801400184631348
,48.86667,历史,9.806650161743164
48.9,48.88333,历史,9.81190013885498
,48.9,历史,9.817159652709961
,48.91667,历史,9.822420120239258
,48.93333,历史,9.827690124511719
,48.95,历史,9.832969665527344
,48.96667,历史,9.83825969696045
,48.98333,历史,9.843549728393555
,49.0,历史,9.84885025024414
,49.01667,历史,9.85416030883789
,49.03333,历史,9.859479904174805
,49.05,历史,9.864800453186035
,49.06667,历史,9.870129585266113
,49.08333,历史,9.875470161437988
,49.1,历史,9.880820274353027
,49.11667,历史,9.886170387268066
,49.13333,历史,9.89153003692627
49.1,49.15,历史,9.896900177001953
,49.16667,历史,9.9022798538208
,49.18333,历史,9.907659530639648
,49.2,历史,9.913049697875977
,49.21667,历史,9.918450355529785
,49.23333,历史,9.923870086669922
,49.25,历史,9.929280281066895
,49.26667,历史,9.934709548950195
,49.28333,历史,9.940150260925293
,49.3,历史,9.945590019226074
,49.31667,历史,9.951040267944336
,49.33333,历史,9.956509590148926
,49.35,历史,9.961970329284668
,49.36667,历史,9.967450141906738
,49.38333,历史,9.972940444946289
,49.4,历史,9.978440284729004
49.4,49.41667,历史,9.983949661254883
,49.43333,历史,9.989459991455078
,49.45,历史,9.994990348815918
,49.46667,历史,10.000519752502441
,49.48333,历史,10.006070137023926
,49.5,历史,10.011619567871094
,49.51667,历史,10.017189979553223
,49.53333,历史,10.022760391235352
,49.55,历史,10.028349876403809
,49.56667,历史,10.033940315246582
,49.58333,历史,10.039549827575684
,49.6,历史,10.045160293579102
,49.61667,历史,10.050789833068848
,49.63333,历史,10.05642032623291
,49.65,历史,10.0620698928833
,49.66667,历史,10.067729949951172
49.7,49.68333,历史,10.073390007019043
,49.7,历史,10.079070091247559
,49.71667,历史,10.084759712219238
,49.73333,历史,10.090470314025879
