step,type,K-with epifluidics
2301,历史,9.64688
2302,历史,9.65194
2303,历史,9.65703
2304,历史,9.66211
2305,历史,9.66719
2306,历史,9.67229
2307,历史,9.67738
2308,历史,9.68248
2309,历史,9.68759
2310,历史,9.6927
2311,历史,9.69782
2312,历史,9.70295
2313,历史,9.70808
2314,历史,9.71321
2315,历史,9.71835
2316,历史,9.7235
2317,历史,9.72865
2318,历史,9.7338
2319,历史,9.73897
2320,历史,9.74413
2321,历史,9.74931
2322,历史,9.75449
2323,历史,9.75968
2324,历史,9.76487
2325,历史,9.77008
2326,历史,9.77528
2327,历史,9.78049
2328,历史,9.78571
2329,历史,9.79094
2330,历史,9.79616
2331,历史,9.8014
2332,历史,9.80665
2333,历史,9.8119
2334,历史,9.81716
2335,历史,9.82242
2336,历史,9.82769
2337,历史,9.83297
2338,历史,9.83826
2339,历史,9.84355
2340,历史,9.84885
2341,历史,9.85416
2342,历史,9.85948
2343,历史,9.8648
2344,历史,9.87013
2345,历史,9.87547
2346,历史,9.88082
2347,历史,9.88617
2348,历史,9.89153
2349,历史,9.8969
2350,历史,9.90228
2351,历史,9.90766
2352,历史,9.91305
2353,历史,9.91845
2354,历史,9.92387
2355,历史,9.92928
2356,历史,9.93471
2357,历史,9.94015
2358,历史,9.94559
2359,历史,9.95104
2360,历史,9.95651
2361,历史,9.96197
2362,历史,9.96745
2363,历史,9.97294
2364,历史,9.97844
2365,历史,9.98395
2366,历史,9.98946
2367,历史,9.99499
2368,历史,10.00052
2369,历史,10.00607
2370,历史,10.01162
2371,历史,10.01719
2372,历史,10.02276
2373,历史,10.02835
2374,历史,10.03394
2375,历史,10.03955
2376,历史,10.04516
2377,历史,10.05079
2378,历史,10.05642
2379,历史,10.06207
2380,历史,10.06773
2381,历史,10.07339
2382,历史,10.07907
2383,历史,10.08476
2384,历史,10.09047
2385,历史,10.09618
2386,历史,10.1019
2387,历史,10.10763
2388,历史,10.11338
2389,历史,10.11914
2390,历史,10.12491
2391,历史,10.13069
2392,历史,10.13648
2393,历史,10.14229
2394,历史,10.1481
2395,历史,10.15393
2396,历史,10.15977
2397,历史,10.16562
2398,历史,10.17149
2399,历史,10.17737
2400,历史,10.18326
2401,预测,10.195044
2402,预测,10.200424
2403,预测,10.2066145
2404,预测,10.2117605
2405,预测,10.218751
2406,预测,10.223228
2407,预测,10.229805
2408,预测,10.237631
2409,预测,10.241363
2410,预测,10.249054
2411,预测,10.254622
2412,预测,10.260359
2413,预测,10.264679
2414,预测,10.27119
2415,预测,10.277594
2416,预测,10.283365
2417,预测,10.288572
2418,预测,10.296846
2419,预测,10.299614
2420,预测,10.308174
2421,预测,10.314735
2422,预测,10.319567
2423,预测,10.323941
2424,预测,10.330543
2425,预测,10.337906
2426,预测,10.345133
2427,预测,10.353358
2428,预测,10.354702
2429,预测,10.363047
2430,预测,10.368253
