date,step,type,K-with epifluidics
48.4,48.35,历史,9.64688
,48.36667,历史,9.65194
,48.38333,历史,9.65703
,48.4,历史,9.66211
,48.41667,历史,9.66719
,48.43333,历史,9.67229
,48.45,历史,9.67738
,48.46667,历史,9.68248
,48.48333,历史,9.68759
,48.5,历史,9.6927
,48.51667,历史,9.69782
,48.53333,历史,9.70295
,48.55,历史,9.70808
,48.56667,历史,9.71321
,48.58333,历史,9.71835
,48.6,历史,9.7235
48.6,48.61667,历史,9.72865
,48.63333,历史,9.7338
,48.65,历史,9.73897
,48.66667,历史,9.74413
,48.68333,历史,9.74931
,48.7,历史,9.75449
,48.71667,历史,9.75968
,48.73333,历史,9.76487
,48.75,历史,9.77008
,48.76667,历史,9.77528
,48.78333,历史,9.78049
,48.8,历史,9.78571
,48.81667,历史,9.79094
,48.83333,历史,9.79616
,48.85,历史,9.8014
,48.86667,历史,9.80665
48.9,48.88333,历史,9.8119
,48.9,历史,9.81716
,48.91667,历史,9.82242
,48.93333,历史,9.82769
,48.95,历史,9.83297
,48.96667,历史,9.83826
,48.98333,历史,9.84355
,49.0,历史,9.84885
,49.01667,历史,9.85416
,49.03333,历史,9.85948
,49.05,历史,9.8648
,49.06667,历史,9.87013
,49.08333,历史,9.87547
,49.1,历史,9.88082
,49.11667,历史,9.88617
,49.13333,历史,9.89153
49.1,49.15,历史,9.8969
,49.16667,历史,9.90228
,49.18333,历史,9.90766
,49.2,历史,9.91305
,49.21667,历史,9.91845
,49.23333,历史,9.92387
,49.25,历史,9.92928
,49.26667,历史,9.93471
,49.28333,历史,9.94015
,49.3,历史,9.94559
,49.31667,历史,9.95104
,49.33333,历史,9.95651
,49.35,历史,9.96197
,49.36667,历史,9.96745
,49.38333,历史,9.97294
,49.4,历史,9.97844
49.4,49.41667,历史,9.98395
,49.43333,历史,9.98946
,49.45,历史,9.99499
,49.46667,历史,10.00052
,49.48333,历史,10.00607
,49.5,历史,10.01162
,49.51667,历史,10.01719
,49.53333,历史,10.02276
,49.55,历史,10.02835
,49.56667,历史,10.03394
,49.58333,历史,10.03955
,49.6,历史,10.04516
,49.61667,历史,10.05079
,49.63333,历史,10.05642
,49.65,历史,10.06207
,49.66667,历史,10.06773
49.7,49.68333,历史,10.07339
,49.7,历史,10.07907
,49.71667,历史,10.08476
,49.73333,历史,10.09047
,49.75,历史,10.09618
,49.76667,历史,10.1019
,49.78333,历史,10.10763
,49.8,历史,10.11338
,49.81667,历史,10.11914
,49.83333,历史,10.12491
,49.85,历史,10.13069
,49.86667,历史,10.13648
,49.88333,历史,10.14229
,49.9,历史,10.1481
,49.91667,历史,10.15393
,49.93333,历史,10.15977
50.0,49.95,历史,10.16562
,49.96667,历史,10.17149
,49.98333,历史,10.17737
,50.0,历史,10.18326
50.0,50.01667,预测,10.194584
,50.033339999999995,预测,10.200627
,50.05000999999999,预测,10.206212
,50.06667999999999,预测,10.210111
,50.08334999999999,预测,10.219801
,50.10001999999999,预测,10.223967
,50.116689999999984,预测,10.22681
,50.13335999999998,预测,10.2357
,50.15002999999998,预测,10.240559
,50.16669999999998,预测,10.245442
,50.183369999999975,预测,10.252188
,50.20003999999997,预测,10.260016
,50.21670999999997,预测,10.263958
,50.23337999999997,预测,10.270254
,50.250049999999966,预测,10.278123
,50.266719999999964,预测,10.28431
,50.28338999999996,预测,10.289946
,50.30005999999996,预测,10.295856
,50.31672999999996,预测,10.301925
,50.333399999999955,预测,10.306672
,50.35006999999995,预测,10.312995
,50.36673999999995,预测,10.320179
,50.38340999999995,预测,10.325533
,50.400079999999946,预测,10.334385
,50.416749999999944,预测,10.335201
,50.43341999999994,预测,10.340735
,50.45008999999994,预测,10.34699
,50.46675999999994,预测,10.356202
,50.483429999999935,预测,10.361301
,50.50009999999993,预测,10.368179
,50.51676999999993,预测,10.373962
,50.53343999999993,预测,10.378629
,50.550109999999925,预测,10.384843
,50.56677999999992,预测,10.390646
,50.58344999999992,预测,10.3985815
,50.60011999999992,预测,10.403893
,50.61678999999992,预测,10.408372
,50.633459999999914,预测,10.413948
,50.65012999999991,预测,10.421966
,50.66679999999991,预测,10.429448
,50.68346999999991,预测,10.43276
,50.700139999999905,预测,10.437267
,50.7168099999999,预测,10.445049
,50.7334799999999,预测,10.451956
,50.7501499999999,预测,10.459667
,50.766819999999896,预测,10.462568
,50.783489999999894,预测,10.468461
,50.80015999999989,预测,10.478985
,50.81682999999989,预测,10.481266
,50.83349999999989,预测,10.486714
,50.850169999999885,预测,10.490408
,50.86683999999988,预测,10.499318
,50.88350999999988,预测,10.505492
,50.90017999999988,预测,10.513896
,50.916849999999876,预测,10.515396
,50.933519999999874,预测,10.524485
,50.95018999999987,预测,10.530643
,50.96685999999987,预测,10.532158
,50.98352999999987,预测,10.540485
,51.000199999999865,预测,10.548041
,51.01686999999986,预测,10.554335
,51.03353999999986,预测,10.557078
,51.05020999999986,预测,10.563442
,51.066879999999855,预测,10.571556
,51.08354999999985,预测,10.576814
,51.10021999999985,预测,10.581009
,51.11688999999985,预测,10.589588
,51.13355999999985,预测,10.593601
,51.150229999999844,预测,10.603528
,51.16689999999984,预测,10.604533
,51.18356999999984,预测,10.614494
,51.20023999999984,预测,10.622328
,51.216909999999835,预测,10.623554
,51.23357999999983,预测,10.631019
,51.25024999999983,预测,10.638612
51.3,51.26691999999983,预测,10.644052
,51.283589999999826,预测,10.649627
,51.300259999999824,预测,10.655325
,51.31692999999982,预测,10.659607
,51.33359999999982,预测,10.664852
,51.35026999999982,预测,10.675292
,51.366939999999815,预测,10.679595
,51.38360999999981,预测,10.685954
,51.40027999999981,预测,10.691027
,51.41694999999981,预测,10.697843
,51.433619999999806,预测,10.703556
,51.450289999999804,预测,10.708969
,51.4669599999998,预测,10.715082
,51.4836299999998,预测,10.72025
,51.5002999999998,预测,10.726215
,51.516969999999795,预测,10.733499
,51.53363999999979,预测,10.740784
,51.55030999999979,预测,10.748666
,51.56697999999979,预测,10.752239
,51.583649999999786,预测,10.756212
,51.60031999999978,预测,10.764854
,51.61698999999978,预测,10.7726345
,51.63365999999978,预测,10.781059
,51.65032999999978,预测,10.786131
,51.666999999999774,预测,10.790644
,51.68366999999977,预测,10.801929
,51.70033999999977,预测,10.804005
,51.71700999999977,预测,10.806116
,51.733679999999765,预测,10.816875
,51.75034999999976,预测,10.821281
,51.76701999999976,预测,10.829134
,51.78368999999976,预测,10.832467
,51.800359999999756,预测,10.842542
,51.817029999999754,预测,10.845815
,51.83369999999975,预测,10.854229
,51.85036999999975,预测,10.859541
,51.86703999999975,预测,10.8675165
,51.883709999999745,预测,10.874491
,51.90037999999974,预测,10.880401
,51.91704999999974,预测,10.887041
,51.93371999999974,预测,10.891825
,51.950389999999736,预测,10.897695
,51.967059999999734,预测,10.904079
,51.98372999999973,预测,10.911652
,52.00039999999973,预测,10.919932
,52.01706999999973,预测,10.922865
,52.033739999999725,预测,10.924908
,52.05040999999972,预测,10.931658
,52.06707999999972,预测,10.94204
,52.08374999999972,预测,10.949907
,52.100419999999716,预测,10.957008
,52.11708999999971,预测,10.961849
,52.13375999999971,预测,10.966939
,52.15042999999971,预测,10.973936
,52.16709999999971,预测,10.978654
,52.183769999999704,预测,10.988331
,52.2004399999997,预测,10.992374
,52.2171099999997,预测,10.999599
,52.2337799999997,预测,11.002007
,52.250449999999695,预测,11.012693
,52.26711999999969,预测,11.02067
,52.28378999999969,预测,11.024059
,52.30045999999969,预测,11.027251
,52.317129999999686,预测,11.037937
,52.333799999999684,预测,11.045464
,52.35046999999968,预测,11.052578
,52.36713999999968,预测,11.055456
,52.38380999999968,预测,11.060977
,52.400479999999675,预测,11.0717125
,52.41714999999967,预测,11.074863
,52.43381999999967,预测,11.080663
,52.45048999999967,预测,11.084415
,52.467159999999666,预测,11.094019
,52.483829999999664,预测,11.100659
,52.50049999999966,预测,11.108515
52.5,52.51716999999966,预测,11.110815
,52.53383999999966,预测,11.122889
,52.550509999999655,预测,11.125883
,52.56717999999965,预测,11.130264
,52.58384999999965,预测,11.136947
,52.60051999999965,预测,11.144133
,52.617189999999646,预测,11.152609
,52.63385999999964,预测,11.153488
,52.65052999999964,预测,11.161229
,52.66719999999964,预测,11.171946
,52.68386999999964,预测,11.176274
,52.700539999999634,预测,11.181074
,52.71720999999963,预测,11.189536
,52.73387999999963,预测,11.192643
,52.75054999999963,预测,11.202791
,52.767219999999625,预测,11.204244
,52.78388999999962,预测,11.216229
,52.80055999999962,预测,11.223934
,52.81722999999962,预测,11.223287
,52.833899999999616,预测,11.232756
,52.850569999999614,预测,11.239344
,52.86723999999961,预测,11.24678
,52.88390999999961,预测,11.251093
,52.90057999999961,预测,11.257001
,52.917249999999605,预测,11.262072
,52.9339199999996,预测,11.269232
,52.9505899999996,预测,11.2802305
,52.9672599999996,预测,11.285154
,52.983929999999596,预测,11.289696
,53.000599999999594,预测,11.295483
,53.01726999999959,预测,11.302326
,53.03393999999959,预测,11.309092
,53.05060999999959,预测,11.313509
,53.067279999999585,预测,11.319453
,53.08394999999958,预测,11.326464
,53.10061999999958,预测,11.33204
,53.11728999999958,预测,11.339024
,53.133959999999576,预测,11.347678
,53.15062999999957,预测,11.354023
,53.16729999999957,预测,11.360865
,53.18396999999957,预测,11.36414
,53.20063999999957,预测,11.373896
,53.217309999999564,预测,11.381928
,53.23397999999956,预测,11.390133
,53.25064999999956,预测,11.395487
,53.26731999999956,预测,11.400173
,53.283989999999555,预测,11.412159
,53.30065999999955,预测,11.414026
,53.31732999999955,预测,11.416764
,53.33399999999955,预测,11.427606
,53.350669999999546,预测,11.432249
,53.367339999999544,预测,11.4407215
,53.38400999999954,预测,11.444075
,53.40067999999954,预测,11.454955
,53.41734999999954,预测,11.458475
,53.434019999999535,预测,11.467241
,53.45068999999953,预测,11.472406
,53.46735999999953,预测,11.480941
,53.48402999999953,预测,11.488491
,53.500699999999526,预测,11.494971
,53.517369999999524,预测,11.501785
,53.53403999999952,预测,11.50687
,53.55070999999952,预测,11.512447
,53.56737999999952,预测,11.519554
,53.584049999999515,预测,11.527263
